Firstseen (UTC)	Version	Feodo C&C	Status	SBL	ASN	Country	Lastseen (UTC)\
2016-03-29 04:51:09	D	93.82.193.162	offline	SBL291861	AS8447 TELEKOM-AT	- AT	2016-03-29 07:48:34\
2016-03-29 04:50:57	D	92.234.200.250	offline	SBL292267	AS5089 NTL,	- GB	never\
2016-03-29 04:50:43	D	88.249.199.217	offline	SBL291929	AS9121 TTNET,	- TR	never\
2016-03-29 04:50:31	D	86.147.46.22	offline	Not listed	AS2856 BT-UK-AS	- GB	never\
2016-03-29 04:49:51	D	75.88.69.219	offline	SBL291860	AS7029 WINDSTREAM	- US	2016-03-29 08:16:56\
2016-03-29 04:49:47	D	67.78.182.170	offline	SBL291859	AS33363 BHN-TAMPA	- US	never\
2016-03-29 04:49:38	D	66.131.80.70	offline	SBL291858	AS5769 VIDEOTRON	- CA	never\
2016-03-29 04:49:33	D	217.7.194.96	offline	Not listed	AS3320 DTAG	- DE	never\
2016-03-29 04:48:27	D	204.116.107.35	offline	Not listed	AS395437 HIGHLANDTEL	- US	never\
2016-03-29 04:47:54	D	197.96.139.253	offline	Not listed	AS3741 IS,	- ZA	2016-04-09 11:10:27\
2016-03-29 04:47:21	D	188.195.206.120	offline	Not listed	AS31334 KABELDEUTSCHLAND-AS,	- DE	never\
2016-03-29 04:46:49	D	179.51.25.160	offline	SBL292266	AS27773 MILLICOM	- SV	2016-04-09 11:10:27\
2016-03-29 04:46:04	D	176.253.67.89	offline	Not listed	AS5607 BSKYB-BROADBAND-AS,	- GB	never\
2016-03-29 04:45:54	D	174.76.17.151	offline	SBL292052	AS22773 ASN-CXA-ALL-CCI-22773-RDC	- US	never\
2016-03-29 04:45:21	D	152.172.129.252	offline	Not listed	AS7418 TELEF195147NICA		never\
2016-03-29 04:44:20	D	142.166.241.182	offline	SBL291930	AS855 CANET-ASN-4	- CA	2016-03-29 07:48:34\
2016-03-29 04:43:46	D	85.17.155.148	offline	Not listed	AS60781 LEASEWEB-NL-AMS-01	- NL	2017-10-06 22:11:23\
2016-03-29 04:43:31	D	210.245.92.63	offline	SBL343564	AS18403 FPT-AS-AP	- VN	2017-10-06 22:11:23\
2016-03-29 04:43:28	D	198.167.140.64	offline	SBL291855	AS23033 WOW	- US	2017-10-06 22:11:23\
2016-03-26 04:59:48	D	181.131.129.205	offline	Not listed	AS13489 EPM	- CO	2016-04-01 03:49:38\
2016-03-26 04:59:48	D	71.46.208.93	offline	SBL291504	AS1618 NETWORKS-1	- US	never\
2016-03-26 04:59:48	D	81.139.213.180	offline	SBL291505	AS2856 BT-UK-AS	- GB	never\
2016-03-26 04:59:48	D	177.66.203.138	offline	SBL291931	AS53004 Downup	- BR	never\
2016-03-26 04:59:48	D	83.104.230.199	offline	SBL292053	AS2529 DEMON-INTERNET	- GB	never\
2016-03-26 04:59:48	D	41.250.2.135	offline	Not listed	AS36903 MT-MPLS,	- MA	never\
2016-03-24 01:19:50	D	38.64.199.113	offline	SBL291218	AS26110 MHT-ASN	- US	2017-10-02 02:11:46\
2016-03-24 01:19:50	D	149.172.43.69	offline	Not listed	AS29562 KABELBW-ASN,	- DE	never\
2016-03-24 01:19:50	D	176.35.198.188	offline	SBL291217	AS5413 AS5413,	- GB	2016-04-09 11:10:27\
2016-03-22 21:16:01	D	154.120.229.44	offline	SBL291029	AS30844 LIQUID-AS,	- ZW	2017-10-02 02:11:46\
2016-03-22 21:16:01	D	5.2.164.38	offline	Not listed	AS8708 RCS-RDS	- RO	never\
2016-03-19 23:44:36	D	99.248.17.200	offline	SBL290483	AS812 ROGERS-COMMUNICATIONS	- CA	2016-03-22 23:50:44\
2016-03-19 23:44:36	D	83.172.215.87	offline	SBL290535	AS12651 IPWORLDCOM	- CH	never\
2016-03-19 23:44:36	D	178.188.14.86	offline	Not listed	AS8447 TELEKOM-AT	- AT	2016-03-24 01:19:50\
2016-03-19 23:44:36	D	96.91.129.246	offline	SBL290482	AS7922 COMCAST-7922	- US	never\
