latitude;longitude
3.851.597.101;-1.214.299.421
3.860.667.473;-1.214.226.379
3.858.248.128;-1.214.833.164
3.853.157.177;-121.450.006
3.852.420.377;-1.214.716.718
3.855.612.335;-1.214.724.356
3.853.747.149;-1.215.076.255
3.853.291.921;-1.214.446.609
3.862.689.633;-1.214.378.029
3.848.474.254;-1.214.564.244
3.857.905.171;-1.214.976.906
3.847.531.506;-1.214.487.485
3.861.775.373;-1.214.947.194
3.844.865.752;-121.430.088
3.859.829.761;-1.214.344.803
3.851.235.896;-1.215.339.089
3.863.582.718;-1.215.080.524
3.851.282.612;-1.215.319.557
3.861.609.551;-1.214.714.109
3.861.011.609;-121.478.346
385.532.147;-121.467.488
3.858.378.853;-1.214.901.707
3.856.360.559;-1.214.894.825
3.863.995.013;-1.214.514.665
3.855.239.225;-1.214.444.079
3.853.139.129;-1.214.455.607
3.863.484.756;-1.214.438.493
3.855.490.411;-121.485.233
3.864.723.814;-1.214.199.458
3.855.280.884;-1.214.278.994
3.857.348.427;-1.214.678.719
3.849.980.195;-1.214.149.165
3.862.535.356;-1.215.104.944
3.863.577.799;-1.214.409.047
3.849.324.791;-1.215.219.586
3.857.428.281;-1.214.792.272
3.855.347.187;-1.214.566.492
3.849.814.667;-1.215.101.504
385.646.481;-1.214.911.364
3.856.162.032;-121.415.207
3.857.301.361;-1.214.658.432
3.848.131.474;-1.215.013.123
3.861.448.373;-1.214.496.149
3.857.924.878;-1.214.626.901
3.858.370.044;-1.215.008.344
384.957.722;-121.472.256
3.847.392.033;-12.149.508
385.680.901;-1.214.670.272
3.865.460.722;-1.214.291.378
3.845.768.744;-1.214.176.675
3.853.499.467;-1.214.101.636
3.857.131.092;-1.214.851.916
3.844.879.933;-1.214.445.499
3.862.659.902;-1.214.467.735
3.852.659.231;-1.214.721.784
3.852.627.076;-1.214.715.167
3.853.103.324;-1.214.385.055
3.850.102.291;-121.474.167
3.862.935.749;-1.214.511.384
386.813.822;-12.153.673
3.850.031.738;-1.214.870.452
3.866.763.857;-1.215.211.177
3.863.338.067;-1.214.755.257
3.852.904.451;-1.214.727.965
385.012.711;-1.214.737.948
3.853.092.764;-121.473.272
3.853.855.659;-1.214.746.387
386.361.631;-1.214.393.403
3.847.856.755;-1.215.305.244
3.859.873.136;-1.214.458.175
3.863.276.571;-1.215.061.726
3.861.199.425;-1.214.244.182
3.852.864.267;-1.214.347.944
3.865.543.537;-1.215.223.763
3.861.759.982;-1.214.755.368
3.853.966.389;-1.214.634.181
3.844.471.524;-1.214.052.034
3.852.367.283;-121.471.459
3.852.488.785;-1.214.717.471
3.854.121.247;-1.214.711.438
3.844.254.818;-121.407.243
3.857.094.664;-1.214.642.182
3.853.913.744;-1.214.019.692
3.852.799.984;-1.214.725.316
3.852.904.451;-1.214.727.965
3.852.488.785;-1.214.717.471
3.861.346.222;-1.214.960.693
3.864.448.295;-1.214.269.185
3.862.284.309;-1.214.937.243
384.599.079;-1.214.323.661
3.852.904.451;-1.214.727.965
3.846.866.082;-1.214.590.371
3.845.354.132;-1.214.422.153
3.857.512.017;-1.214.972.076
3.852.627.076;-1.214.715.167
3.847.587.189;-1.214.366.615
3.860.846.273;-121.422.165
3.852.718.667;-1.214.712.477
3.864.444.404;-1.214.576.293
3.854.318.603;-1.214.758.004
3.865.862.177;-1.215.120.975
3.854.156.627;-1.214.668.617
3.857.512.017;-1.214.972.076
3.860.846.198;-1.214.220.145
3.847.403.927;-1.214.192.423
3.854.865.343;-1.213.932.422
3.846.528.543;-1.214.589.055
3.847.054.773;-1.214.597.214
3.846.386.486;-1.214.284.754
3.856.881.137;-1.214.722.229
3.861.383.575;-1.214.450.246
3.851.582.822;-1.213.854.335
3.863.292.418;-1.214.305.962
3.863.862.878;-1.213.815.598
3.852.627.076;-1.214.715.167
3.852.164.684;-1.214.709.707
386.364.856;-1.214.305.818
3.863.410.671;-1.214.917.958
3.852.517.524;-1.214.727.447
3.852.496.323;-1.214.438.874
3.858.553.089;-1.214.842.948
3.852.488.785;-1.214.717.471
3.856.356.918;-1.214.721.812
3.861.084.789;-1.214.630.259
385.393.973;-1.214.753.422
